Neighborhood,Zone,Area,Population,Density,Homes_count,Full_Address,Location,Point,Latitude,Longitude,Altitude
Adrianópolis,Centro-Sul,248.45,10459,3560.88,3224,"Adrianópolis, Manaus, Amazonas","Adrianópolis, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1016973, -60.0089746, 0.0)",-3.1016973,-60.0089746,0.0
Aleixo,Centro-Sul,618.34,24417,3340.4,6101,"Aleixo, Manaus, Amazonas","Aleixo, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0872605, -59.9900635, 0.0)",-3.0872605,-59.9900635,0.0
Alvorada,Centro-Oeste,553.18,76392,11681.73,18193,"Alvorada, Manaus, Amazonas","Alvorada, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0758518, -60.0491264, 0.0)",-3.0758518,-60.0491264,0.0
Armando Mendes,Leste,307.65,33441,9194.86,7402,"Armando Mendes, Manaus, Amazonas","Armando Mendes, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0940003, -59.9432246, 0.0)",-3.0940003,-59.9432246,0.0
Betânia,Sul,52.51,1294,20845.55,3119,"Betânia, Manaus, Amazonas","Betânia, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1330914, -59.9955771, 0.0)",-3.1330914,-59.9955771,0.0
Cachoeirinha,Sul,197.71,20035,8572.15,5363,"Cachoeirinha, Manaus, Amazonas","Cachoeirinha, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1252814, -60.0054165, 0.0)",-3.1252814,-60.0054165,0.0
Centro,Sul,426.94,39228,7772.29,10828,"Centro, Manaus, Amazonas","Centro, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1321038, -60.0215685, 0.0)",-3.1321038,-60.0215685,0.0
Chapada,Centro-Sul,241.27,13219,4634.64,4324,"Chapada, Manaus, Amazonas","Chapada, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0898329, -60.0271404, 0.0)",-3.0898329,-60.0271404,0.0
Cidade de Deus,Norte,676.76,82919,10364.38,19385,"Cidade de Deus, Manaus, Amazonas","Cidade de Deus, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0187172, -59.9504276, 0.0)",-3.0187172,-59.9504276,0.0
Cidade Nova,Norte,1419.38,143201,8534.36,34239,"Cidade Nova, Manaus, Amazonas","Cidade Nova, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0299285, -59.9925943, 0.0)",-3.0299285,-59.9925943,0.0
Colônia Antônio Aleixo,Leste,923.82,19626,1797.1,4125,"Colônia Antônio Aleixo, Manaus, Amazonas","Colonia Antonio Aleixo, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1055488, -59.9051666, 0.0)",-3.1055488,-59.9051666,0.0
Colônia Oliveira Machado,Sul,140.01,10055,6075.28,214,"Colônia Oliveira Machado, Manaus, Amazonas","Colônia Oliveira Machado, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1497072, -59.999752, 0.0)",-3.1497072,-59.999752,0.0
Colônia Santo Antônio,Norte,342.08,20851,5156.1,5112,"Colônia Santo Antônio, Manaus, Amazonas","Santo Antônio, Barcelos, Microrregião do Rio Negro, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69700000, Brasil","(-0.9474148, -62.9450252, 0.0)",-0.9474148,-62.9450252,0.0
Colônia Terra Nova,Norte,943.98,53287,4775.1,12778,"Colônia Terra Nova, Manaus, Amazonas","Colonia Terra Nova, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0131364, -60.014594, 0.0)",-3.0131364,-60.014594,0.0
Compensa,Oeste,508.27,89645,14919.63,19956,"Compensa, Manaus, Amazonas","Compensa, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1052079, -60.0536927, 0.0)",-3.1052079,-60.0536927,0.0
Coroado,Leste,1031.62,60709,4978,14571,"Coroado, Manaus, Amazonas","Coroado, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0901361, -59.9734359, 0.0)",-3.0901361,-59.9734359,0.0
Crespo,Sul,110.11,18266,14032.33,4312,"Crespo, Manaus, Amazonas","Crespo, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1338739, -59.9897549, 0.0)",-3.1338739,-59.9897549,0.0
Da Paz,Centro-Oeste,240.97,17961,6304.93,4452,"Da Paz, Manaus, Amazonas","Da Paz, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0569693, -60.030696, 0.0)",-3.0569693,-60.030696,0.0
Distrito Industrial I,Sul,1168.59,3201,231.73,812,"Distrito Industrial I, Manaus, Amazonas","Distrito Industrial I, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1221754, -59.9601154, 0.0)",-3.1221754,-59.9601154,0.0
Distrito Industrial II,Leste,5137.69,4609,75.89,1263,"Distrito Industrial II, Manaus, Amazonas","Distrito Industrial II, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0429826, -59.9022483, 0.0)",-3.0429826,-59.9022483,0.0
Dom Pedro,Centro-Oeste,275.78,20179,6189.72,4936,"Dom Pedro, Manaus, Amazonas","Dom Pedro I, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0877436, -60.0431058, 0.0)",-3.0877436,-60.0431058,0.0
Educandos,Sul,82.83,18745,19144.03,4266,"Educandos, Manaus, Amazonas","Educandos, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1421444, -60.0110395, 0.0)",-3.1421444,-60.0110395,0.0
Flores,Centro-Sul,1311.57,56859,3667.21,15639,"Flores, Manaus, Amazonas","Flores, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0568441, -60.0033342, 0.0)",-3.0568441,-60.0033342,0.0
Gilberto Mestrinho,Leste,707.15,65429,7826.77,15188,"Gilberto Mestrinho, Manaus, Amazonas","Gilberto Mestrinho, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0711282, -59.92669055948602, 0.0)",-3.0711282,-59.92669055948602,0.0
